Club Name,District,Project Category,Project Title,Project Description
"Lucaya, Grand Bahama",Eastern Canada and the Caribbean,Holidays,HOLIDAY EXTRAVANGZA,"""The Kiwanis Club of Lucaya will select an impoverish community each year to celebrate the Christmas season and give a gift to at least 150 children and give out clothing and footwear."""
Sugar Grove Township,Illinois-Eastern Iowa,Holidays,Holiday in the Grove & Breakfast with Santa ,"""Our annual community holiday event features a pancake breakfast with Santa, entertainment, and children's activities."""
North Eleuthera,Eastern Canada and the Caribbean,Holidays,Egg-stravaganza ,"""Kiwanis club of North Eleuthera signature project. The egg-stravaganza will be held every Easter Monday annually at the Bay festival Park Hatchet Bay Eleuthera.  Our target goal I to provide Easter basket for  150 children.  Twelve hundred eggs will be hidden.  Festivities includ"""
Trenton,New Jersey,Other,Times-Kiwanis Camp Fund,"""An annual summer camp scholarship drive to send children to camps in the greater Mercer County community.  Scholarships are provided to a variety of entities including, but not limited to: Boys & Girls Club, Boy Scouts, Girl Scouts, Capital YMCA, HomeFront, RISE, CYO & others"""
Morgantown,Capital,Other,Kiwanis Foundation of Morgantown WV,"""Funding of grants for the Greater Morgantown Area specifically for the youth and elderly."""
La Porte,Indiana,Other,LaPorte 4th of July Parade,"""A dual service project/fund raiser, this parade serves as the foundation by which LaPorte has historically been named Ind. Capital of the Day. Kiwanis undertook the parade's  76th running in 2021. Annual crowds approx. 40-60k, with nearly $20,000 raised for local causes."""
Rome,New York,Other,Kamp Kiwanis,"""Clean up, supplies to the Kamp and anything they need, as Rome Club was the originators of Kamp Kiwanis."""
Spring Hill,Florida,Other,Barneys Kids,"""At the request of health dept and local school we provide clothing etc for children in need"""
Thomaston,Georgia,Other,JOY Community Development Project,"""Program which is focused on at-risk middle school children issues to help child avoid making poor decisions that could affect them negatively the remainder of their lives."""
Owego,New York,Other,Kiwanis Radio Day,"""2023 marks our 61st Annual Kiwanis Radio Day. Our signature event is both a community fundraiser and ""friendraiser.""  Kiwanians take the airwaves for a day each spring on WEBO. Donations collected from businesses & individuals support local non-profit youth-oriented programs."""
Kelso Longview,Pacific Northwest,Other,Kiwanis Incidentals for Kids (KIKS),"""We collect ""incidentals"" that people get in their hotel rooms when traveling and donate them to the Emergency Support Shelter, Community House on Broadway, and Luggage of Love.  All the items are free to the donors and can help folks in need. We accept full-size items as well."""
"Denton, Breakfast, Denton",Texas-Oklahoma,Other,Service Leadership Programs,"""We support three Key Clubs in Denton high schools."""
Sewickley,Pennsylvania,Other,Sewickley Harvest Festival,"""Co-Host and originator of the Sewickley Harvest Festival every Fall. The proceeds support our clubs 7 key clubs and our projects and sponsored organizations throughout the year."""
West Lorne,Eastern Canada and the Caribbean,Other,Kiwanis Community Flower Garden ,"""Flower garden situated at the front of local arena.  This garden is planted each spring and maintained through the season by members of the Kiwanis Club of West Lorne.  There is a large 'KIWANIS"" sign in front ot the garden. """
Riviera Beach,Florida,Other,Annual Golf Tournament Seminole Golf Club,"""Annual Golf Tournament use to raise funds to support Community Partner Organzations & Agencies, Scholarships, Children's Heath, Community Health and Pandemic"""
Hillsboro,Minnesota-Dakotas,Other,Kiwanis Housing,"""Hillsboro Kiwanis Housing is the common name for Hillsboro Development which is a housing project that hosts 54 units of housing for low income, elderly and handicapped individuals."""
Benton,Kentucky-Tennessee,Other,Tater Day,"""A local festival held on the first Monday in April.  Our Club is in charge of the Parade and Carnival.  We make our money from the carnival.  We give money to Children's Programs and needs in our county and award at least two scholarships to graduating seniors at our high school."""
"Fort Hill, Lynchburg",Capital,Other,Miller Home for Girls,"""We work with the Director supplying needs for the home and individual girls, we have a meal and socialize with the the girls on the 3rd Thursday, recognize each girl's birthday, and d   o crafts with the girls and have special events, and assist with their events when asked."""
Edmonton-Oil Capital,Western Canada,Other,Top Cop Appreciation,"""For the past 46 years the Kiwanis Club has presented its Top Cop Appreciation Award to a member of the Edmonton Police Service for volunteer work done above and beyond their regular duties."""
Westside Jacksonville,Florida,Other,Old McDonald's Farm,"""Old McDonald's Farm is a part of the Greater Jacksonville Agriculturall Fair, which displays live animals, a garden, farm house, and barn.  There are old farm tools on display; corn sheller, pitcher pump and hand tools.  This project has a history of over 40 years"""
"Early Risers, Worthington",Minnesota-Dakotas,Other,All Inclusive Fishing Dock,"""The All Inclusive Fishing Dock will be installed on Lake Okabena at Chautauqua Park in Worthington.  This will accommodate people in wheelchairs, for example, to fish at the fishing stations.  Handicap accessibility is essential with parking and approach to the dock.  """
Kaw Valley 204,Kansas,Other,BUG Program;  Builders Club;  Key Club,"""Our Club supports the BUG Program monetarily and physically. This incentive program has been very successful and has caught the attention of the USD 204 superintendent. The Builders Club and Key Club are also successful. The students' projects show leadership and empathy. """
St. Mary,Eastern Canada and the Caribbean,Other,Christmas Treat for Basic and Primary Schools ans Jacks Priver Primary KKids,"""The Club conducts Christmas treat s during December  2024  for six basic  and primary schools within the community treating over 290 kids ages 3 to 11years.. We provide ice cream ,sweet and gifts which we assisted in serving to the kids We also conducted Christmas Treat for Jacks"""
Brighton Bayside,Australia,Other,Survival Kits for Homeless Youth,"""Helping homeless youth keeping clean and warm and to realise that people in the community care about their welfare. Members fund raise, source/purchase and put together kits of hygiene items and clothing for distribution to the homeless."""
Kiwanis Youth Development and Support (KYDS) San Jose,California-Nevada-Hawaii,Other,Kiwanis Key Leader at Camp Jones Gulch,"""Sponsoring the local Kiwanis Program for high school students in the hills of La Honda, California. """
Santa Cruz,Eastern Canada and the Caribbean,Other,ANUAL COMMUNITY HEALTH FAIR,"""The Annual Community Health Fair.  Includes an open invitation for individuals including children in and around Santa Cruz to get their health checked. Checks include E.C.G, ENT exam, Blood Oxygen, Vision, B.M.I, Blood pressure and sugar and more... all  free of cost"""
Sierra Vista-San Pedro,Southwest,Other,Stocking Stuffers,"""Donations from the community and our Just Kid's Inc. foundation shop, wrap and deliver over 500 presents of clothing to children identified by school nurses in three school districts as in need of pants, shirts, socks, shoes and underwear.for all children in household. """
Welland,Eastern Canada and the Caribbean,Other,Niagara Safety Village - Kiwanis Building,"""Provided funding and support to build a library and hospital building at the Safety Village . The village provides road and fire training to school age children, families and seniors. For a description if the village see:  www.niagarasafetyvillage.com"""
Malabon Achievers,Philippine Luzon,Other,Kiwanis Children of Malabon Achievers,"""YCPO inspired project of KCMA that will give assistance to a KCMA child from Zero to 6 Years old. This is a continuing project of KCMA up to 5 years and beyond."""
Glendora Kiwaniannes,California-Nevada-Hawaii,Other,DESIGNER BAG BINGO,"""THIS PROJECT RAISES FUNDS TO BE USED TO SUPPORT ALL OF OUR SERVICE OUTREACH PROJECTS THOUGHOUT THE YEAR."""
Aruba,Eastern Canada and the Caribbean,Other,Help provide a meal for a child in need.,"""For the past 7 years during the months of November and December our club sell Christmas ornaments to raise funds to provide a breakfast for 120 elementary school children who go to school without having a decent breakfast. The breakfast consists of a sandwich and a pack of juice."""
